Name,Type,Product,Activity
Ethane Oxidation Process,Operation,"acetic acid, without water, in 98% solution state","acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state"
Ethane Oxidation Process,Construction,"chemical factory, organics","chemical factory construction, organics"
Conversion of Ethane to Ethylene,Operation,ethylene,"unsaturated hydrocarbons production, steam cracking operation, average"
Conversion of Ethane to Ethylene,Construction,"chemical factory, organics","chemical factory construction, organics"
Conversion of Ethanol to Jet Fuels,Construction,"chemical factory, organics","chemical factory construction, organics"
Conversion of Ethanol to Jet Fuels,Operation,"kerosene, synthetic","kerosene production, from methanol, hydrogen from coal gasification, energy allocation"
Ethylene Polymerization,Construction,"chemical factory, organics","chemical factory construction, organics"
Ethylene Polymerization,Operation,ethylene,"unsaturated hydrocarbons production, steam cracking operation, average"
Food Production,Operation,"sugar, from sugar beet",beet sugar production
Food Production,Construction,sugar refinery,sugar refinery construction
Food Production (heat pump),Construction,sugar refinery,sugar refinery construction
Food Production (heat pump),Operation,"sugar, from sugar beet",beet sugar production
Food Production with Heat Recovery,Operation,"sugar, from sugar beet",beet sugar production
Food Production with Heat Recovery,Construction,sugar refinery,sugar refinery construction
Fischer-Tropsch Synthesis,Operation,"diesel, synthetic, vehicle grade","diesel production, synthetic, from Fischer Tropsch process, hydrogen from wood gasification, energy allocation, at fuelling station"
Fischer-Tropsch Synthesis,Construction,"chemical factory, organics","chemical factory construction, organics"
Hydrogen Production via Gasification,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from heatpipe reformer gasification of woody biomass, at gasification plant"
Hydrogen Production via Gasification (plant),Construction,synthetic gas factory,synthetic gas factory construction
Hydrogen Production via Gasification (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Synthetic Natural Gas Production via Gasification,Operation,"syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification"
Synthetic Natural Gas Production via Gasification (plant),Construction,synthetic gas factory,synthetic gas factory construction
Synthetic Natural Gas Production via Gasification (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Gasoline to Storage,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Geothermal Energy Utilization,Construction,"geothermal power plant, 5.5MWel",geothermal power plant construction
Geothermal Energy Utilization,Operation,"electricity, high voltage","electricity production, deep geothermal"
Combine Cycle Gas Turbine Hydrogen,Operation,"electricity, high voltage","electricity production, from hydrogen-fired one gigawatt gas turbine"
Combine Cycle Gas Turbine Hydrogen,Construction,"gas power plant, combined cycle, 400MW electrical","gas power plant construction, combined cycle, 400MW electrical"
Hydrogen Compression from High Pressure to Extra High Pressure,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Compression from High Pressure to Extra High Pressure,Construction,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline
Hydrogen Compression from Low Pressure to Medium Pressure,Construction,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline
Hydrogen Compression from Low Pressure to Medium Pressure,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Compression from Medium Pressure to High Pressure,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Compression from Medium Pressure to High Pressure,Construction,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline
Hydrogen Expansion from Extra High Pressure to High Pressure,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Hydrogen Expansion from Extra High Pressure to High Pressure (co-generation unit),Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Expansion from High Pressure to Medium Pressure,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Hydrogen Expansion from High Pressure to Medium Pressure (co-generation unit),Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Expansion from Medium Pressure to Low Pressure,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen Expansion from Medium Pressure to Low Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant"
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m"
Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Hydrogen to Storage,Construction,high pressure hydrogen storage tank,high pressure hydrogen storage tank
High Temperature to Low Temperature Conversion in Decentralized Systems,Operation,"heat, district or industrial, other than natural gas","market for heat, district or industrial, other than natural gas"
Electric Grid at High Voltage,Construction,"transmission network, electricity, high voltage","transmission network construction, electricity, high voltage"
Hydroelectric Dam,Construction,"hydropower plant, reservoir","hydropower plant construction, reservoir"
Hydroelectric Dam,Operation,"electricity, high voltage","electricity production, hydro, reservoir, non-alpine region"
Hydrothermal Gasification,Operation,"syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification"
Hydrothermal Gasification,Construction,synthetic gas factory,synthetic gas factory construction
"Hydrothermal Gasification (co-generation unit, components for heat and electricity)",Operation,"syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification"
Hydrothermal Gasification with Combined Heat and Power (plant),Construction,synthetic gas factory,synthetic gas factory construction
Hydrothermal Gasification with Combined Heat and Power (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
Hydroelectric Power from River Flow,Construction,"hydropower plant, run-of-river","hydropower plant construction, run-of-river"
Hydroelectric Power from River Flow,Operation,"electricity, high voltage","electricity production, hydro, run-of-river"
Industrial Boiler with Coal Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, at hard coal industrial furnace 1-10MW"
Industrial Boiler with Coal Combustion,Construction,"industrial furnace, coal, 1-10MW","industrial furnace production, coal, 1-10MW"
Industrial Boiler with Gas Combustion,Construction,"industrial furnace, natural gas","industrial furnace production, natural gas"
Industrial Boiler with Gas Combustion,Operation,"heat, district or industrial, natural gas","heat production, natural gas, at industrial furnace >100kW"
Industrial Boiler with Oil Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, heavy fuel oil, at industrial furnace 1MW"
Industrial Boiler with Oil Combustion (plant),Construction,"industrial furnace, 1MW, oil","industrial furnace production, 1MW, oil"
Industrial Boiler with Oil Combustion (storage tank),Construction,"oil storage, 3000l","market for oil storage, 3000l"
Industrial Boiler with Waste Combustion,Operation,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
Industrial Boiler with Waste Combustion,Construction,municipal waste incineration facility,municipal waste incineration facility construction
Industrial Boiler with Carbon Capture using Waste Combustion,Operation,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
Industrial Boiler with Carbon Capture using Waste Combustion,Construction,municipal waste incineration facility,municipal waste incineration facility construction
Industrial Boiler with Wood Combustion,Construction,"furnace, wood chips, with silo, 1000kW","furnace production, wood chips, with silo, 1000kW"
Industrial Boiler with Wood Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, wood chips from industry, at furnace 1000kW"
Industrial Cogeneration with Gas Combustion,Operation,"heat, district or industrial, natural gas","heat and power co-generation, natural gas, 1MW electrical, lean burn"
"Industrial Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)",Construction,"heat and power co-generation unit, 1MW electrical, common components for heat+electricity","heat and power co-generation unit construction, 1MW electrical, common components for heat+electricity"
"Industrial Cogeneration with Gas Combustion (co-generation unit, components for electricity)",Construction,"heat and power co-generation unit, 1MW electrical, components for electricity only","heat and power co-generation unit construction, 1MW electrical, components for electricity only"
"Industrial Cogeneration with Gas Combustion (co-generation unit, components for heat)",Construction,"heat and power co-generation unit, 1MW electrical, components for heat only","heat and power co-generation unit construction, 1MW electrical, components for heat only"
Industrial Cogeneration using Waste Combustion,Operation,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
Industrial Cogeneration with Carbon Capture using Waste Combustion,Operation,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
Industrial Cogeneration with Carbon Capture using Waste Combustion (plant),Construction,municipal waste incineration facility,municipal waste incineration facility construction
Industrial Cogeneration with Carbon Capture using Waste Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
Industrial Cogeneration using Waste Combustion (plant),Construction,municipal waste incineration facility,municipal waste incineration facility construction
Industrial Cogeneration using Waste Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
Industrial Cogeneration with Wood Combustion,Operation,"heat, district or industrial, other than natural gas","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014"
Industrial Cogeneration with Wood Combustion (dust collector),Construction,"dust collector, electrostatic precipitator, for industrial use","market for dust collector, electrostatic precipitator, for industrial use"
Industrial Cogeneration with Wood Combustion (plant),Construction,"furnace, wood chips, with silo, 5000kW","furnace production, wood chips, with silo, 5000kW"
Industrial Cogeneration with Wood Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 1000kW electrical","market for heat and power co-generation unit, organic Rankine cycle, 1000kW electrical"
Industrial Direct Electricity Usage,Operation,"electricity, high voltage","market for electricity, high voltage"
Industrial Direct Electricity Usage,Construction,"auxiliary heating unit, electric, 5kW","auxiliary heating unit production, electric, 5kW"
Industrial Heat Pump Electricity Usage,Operation,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW"
Industrial Heat Pump Electricity Usage,Construction,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW"
100% BioDiesel-Powered Light Commercial Vehicle,Construction,truck,"truck, diesel, 3.5t, urban delivery"
100% BioDiesel-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
20% BioDiesel-Powered Light Commercial Vehicle,Construction,truck,"truck, diesel, 3.5t, urban delivery"
20% BioDiesel-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
Compressed Natural Gas-Powered Light Commercial Vehicle,Construction,truck,"truck, compressed gas, 3.5t, urban delivery"
Compressed Natural Gas-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, compressed gas, 3.5t, urban delivery"
Diesel-Powered Light Commercial Vehicle,Construction,truck,"truck, diesel, 3.5t, urban delivery"
Diesel-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
Electric-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, battery electric, 3.5t, urban delivery"
Electric-Powered Light Commercial Vehicle,Construction,truck,"truck, battery electric, 3.5t, urban delivery"
Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, fuel cell electric, 3.5t, urban delivery"
Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Construction,truck,"truck, fuel cell electric, 3.5t, urban delivery"
Gasoline-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, diesel, 3.5t, urban delivery"
Gasoline-Powered Light Commercial Vehicle,Construction,truck,"truck, diesel, 3.5t, urban delivery"
Diesel-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, plugin diesel hybrid, 3.5t, urban delivery"
Diesel-Powered Light Commercial Vehicle,Construction,truck,"truck, plugin diesel hybrid, 3.5t, urban delivery"
Propane-Powered Light Commercial Vehicle,Construction,truck,"truck, compressed gas, 3.5t, urban delivery"
Propane-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, compressed gas, 3.5t, urban delivery"
Electric Grid at Low Voltage,Construction,"distribution network, electricity, low voltage","distribution network construction, electricity, low voltage"
Propylene Production via Metathesis,Operation,propylene,"unsaturated hydrocarbons production, steam cracking operation, average"
Propylene Production via Metathesis,Construction,"chemical factory, organics","chemical factory construction, organics"
Methanation Process,Construction,synthetic gas factory,synthetic gas factory construction
Methanation Process,Operation,"methane, from electrochemical methanation","methane, from electrochemical methanation, with carbon from municipal waste incineration plant"
Conversion of Methane to Methanol,Construction,methanol factory,methanol factory construction
Conversion of Methane to Methanol,Operation,methanol,"methanol production, natural gas reforming"
Methanol Cabonylation Process,Construction,"chemical factory, organics","chemical factory construction, organics"
Methanol Cabonylation Process,Operation,"acetic acid, without water, in 98% solution state","acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state"
Methanol Synthesis via Fischer-Tropsch Process,Construction,methanol factory,methanol factory construction
Methanol Synthesis via Fischer-Tropsch Process,Operation,"methanol, from biomass","methanol production, biomass gasification"
Conversion of Methanol to Aromatic Compounds,Operation,"xylene, mixed","BTX production, from pyrolysis gas, average"
Conversion of Methanol to Aromatic Compounds,Construction,"chemical factory, organics","chemical factory construction, organics"
Conversion of Methanol to Olefinic Compounds,Operation,n-olefins,n-olefins production
Conversion of Methanol to Olefinic Compounds,Construction,"chemical factory, organics","chemical factory construction, organics"
Sequestration of CO2 in Mines,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
Electric Grid at Medium Voltage,Construction,"distribution network, electricity, low voltage","distribution network construction, electricity, low voltage"
New Hydroelectric Dam,Construction,"hydropower plant, reservoir","hydropower plant construction, reservoir"
New Hydroelectric Dam,Operation,"electricity, high voltage","electricity production, hydro, reservoir, non-alpine region"
New Hydroelectric Power from River Flow,Construction,"hydropower plant, run-of-river","hydropower plant construction, run-of-river"
New Hydroelectric Power from River Flow,Operation,"electricity, high voltage","electricity production, hydro, run-of-river"
Natural Gas Compression from High Pressure to Extra High Pressure,Construction,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW"
Natural Gas Compression from High Pressure to Extra High Pressure,Operation,"natural gas, high pressure","market for natural gas, high pressure"
Natural Gas Compression from Low Pressure to Medium Pressure,Operation,"natural gas, low pressure","market for natural gas, low pressure"
Natural Gas Compression from Low Pressure to Medium Pressure,Construction,"air compressor, screw-type compressor, 4kW","air compressor production, screw-type compressor, 4kW"
Natural Gas Compression from Medium Pressure to High Pressure,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
Natural Gas Compression from Medium Pressure to High Pressure,Construction,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW"
Natural Gas Expansion from Extra High Pressure to High Pressure,Operation,"natural gas, high pressure","market for natural gas, high pressure"
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Operation,"natural gas, high pressure","market for natural gas, high pressure"
Natural Gas Expansion from High Pressure to Medium Pressure,Operation,"natural gas, high pressure","market for natural gas, high pressure"
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Natural Gas Expansion from High Pressure to Medium Pressure (co-generation unit),Operation,"natural gas, high pressure","market for natural gas, high pressure"
Natural Gas Expansion from Medium Pressure to Low Pressure,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
Natural Gas Expansion from Medium Pressure to Low Pressure (co-generation unit),Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
Plasma Natural Gas Pyrolysis,Operation,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis"
Plasma Natural Gas Pyrolysis,Construction,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW"
Thermal Natural Gas Pyrolysis,Construction,"air compressor, screw-type compressor, 4kW","market for air compressor, screw-type compressor, 4kW"
Thermal Natural Gas Pyrolysis,Operation,"hydrogen, gaseous, 100 bar","hydrogen production, gaseous, 100 bar, from methane pyrolysis"
Natural Gas Reforming,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming"
Natural Gas Reforming (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Natural Gas Reforming (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Natural Gas to Storage,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Nuclear Power Generation,Operation,"electricity, high voltage","electricity production, nuclear, pressure water reactor"
Nuclear Power Generation,Construction,"nuclear power plant, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW"
Open Cycle Gas Turbine 243 MW,Operation,"natural gas, burned in gas turbine","natural gas, burned in gas turbine"
Open Cycle Gas Turbine 243 MW,Construction,"gas turbine, 10MW electrical","market for gas turbine, 10MW electrical"
Open Cycle Gas Turbine 100 MW,Operation,"natural gas, burned in gas turbine","natural gas, burned in gas turbine"
Open Cycle Gas Turbine 100 MW,Construction,"gas turbine, 10MW electrical","market for gas turbine, 10MW electrical"
Phosphoric Acid Fuel Cell,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
Phosphoric Acid Fuel Cell,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
Paper Production,Construction,"paper mill, integrated","paper mill construction, integrated"
Paper Production,Operation,"paper, newsprint","paper production, newsprint, recycled"
Paper Production (heat pump),Construction,"paper mill, integrated","paper mill construction, integrated"
Paper Production (heat pump),Operation,"paper, newsprint","paper production, newsprint, recycled"
Paper Production with Heat Recovery,Construction,"paper mill, integrated","paper mill construction, integrated"
Paper Production with Heat Recovery,Operation,"paper, newsprint","paper production, newsprint, recycled"
Proton Exchange Membrane Fuel Cell,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
Proton Exchange Membrane Electrolysis,Operation,"hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity"
Proton Exchange Membrane Electrolysis (plant),Construction,"electrolyzer, 1MWe, PEM, Balance of Plant","electrolyzer production, 1MWe, PEM, Balance of Plant"
Proton Exchange Membrane Electrolysis (plant decommissioning),Construction,"used fuel cell balance of plant, 1MWe, PEM","treatment of fuel cell balance of plant, 1MWe, PEM"
Proton Exchange Membrane Electrolysis (stack),Construction,"electrolyzer, 1MWe, PEM, Stack","electrolyzer production, 1MWe, PEM, Stack"
Proton Exchange Membrane Electrolysis (stack decommissioning),Construction,"used fuel cell stack, 1MWe, PEM","treatment of fuel cell stack, 1MWe, PEM"
Polyethylene Terephthalate Formation,Operation,"polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate production, granulate, amorphous"
Polyethylene Terephthalate Formation,Construction,"chemical factory, organics","chemical factory construction, organics"
Plane Freight,Construction,"aircraft, dedicated freight, medium haul","market for aircraft, dedicated freight, medium haul"
Plane Freight,Operation,"transport, freight, aircraft, medium haul","transport, freight, aircraft, dedicated freight, medium haul"
Passenger Plane long haul,Operation,"transport, passenger aircraft, very short haul","transport, passenger aircraft, very short haul"
Passenger Plane long haul,Construction,"aircraft, passenger, very short haul","market for aircraft, passenger, very short haul"
Passenger Plane short haul,Construction,"aircraft, passenger, medium haul","market for aircraft, passenger, medium haul"
Passenger Plane short haul,Operation,"transport, passenger aircraft, medium haul","transport, passenger aircraft, medium haul"
Polypropylene Production,Operation,"polypropylene, granulate","polypropylene production, granulate"
Polypropylene Production,Construction,"chemical factory, organics","chemical factory construction, organics"
Slanted-Roof Photovoltaic Solar Energy,Operation,"electricity, low voltage","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted"
Slanted-Roof Photovoltaic Solar Energy,Construction,"photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof","market for photovoltaic slanted-roof installation, 3kWp, multi-Si, panel, mounted, on roof"
Open Ground Photovoltaic Solar Energy,Operation,"electricity, low voltage","electricity production, photovoltaic, 570kWp open ground installation, multi-Si"
Open Ground Photovoltaic Solar Energy,Construction,"photovoltaic plant, 570kWp, multi-Si, on open ground","market for photovoltaic plant, 570kWp, multi-Si, on open ground"
Polyvinyl Chloride Formation,Construction,"chemical factory, organics","chemical factory construction, organics"
Polyvinyl Chloride Formation,Operation,"polyvinylchloride, bulk polymerised","polyvinylchloride production, bulk polymerisation"
Pyrolysis Process,Construction,"chemical factory, organics","chemical factory construction, organics"
Pyrolysis Process,Operation,light fuel oil,"light fuel oil production, from waste polyethylene"
100% BioDiesel-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
100% BioDiesel-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
20% BioDiesel-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
20% BioDiesel-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
Compressed Natural Gas-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
Compressed Natural Gas-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
Diesel-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
Diesel-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
10% Ethanol-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
10% Ethanol-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
Electric-Powered School Bus,Operation,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus"
Electric-Powered School Bus,Construction,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus"
Gasoline-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck urban bus, EURO-VI"
Gasoline-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck urban bus, EURO-VI"
Diesel Hybrid School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck urban bus, EURO-VI"
Diesel Hybrid School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck urban bus, EURO-VI"
Propane-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
Propane-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
100% BioDiesel-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul"
100% BioDiesel-Powered Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul"
20% BioDiesel-Powered Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul"
20% BioDiesel-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul"
Compressed Natural Gas-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul"
Compressed Natural Gas-Powered Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 26t gross weight, EURO-VI, long haul"
Diesel-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul"
Diesel-Powered Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul"
Electric-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 26t gross weight, long haul"
Electric-Powered Long Distance Semi-trailer truck,Construction,medium duty truck,"medium duty truck, battery electric, 26t gross weight, long haul"
Hydrogen Fuel Cell-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 26t gross weight, long haul"
Hydrogen Fuel Cell-Powered Long Distance Semi-trailer truck,Construction,medium duty truck,"medium duty truck, fuel cell electric, 26t gross weight, long haul"
Diesel Hybrid Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel hybrid, 26t gross weight, EURO-VI, long haul"
Diesel Hybrid Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel hybrid, 26t gross weight, EURO-VI, long haul"
Propane-Powered Long Distance Semi-trailer truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul"
Propane-Powered Long Distance Semi-trailer truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 26t gross weight, EURO-VI, long haul"
100% BioDiesel-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, diesel, 26t, regional delivery"
100% BioDiesel-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, diesel, 26t, regional delivery"
20% BioDiesel-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, diesel, 26t, regional delivery"
20% BioDiesel-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, diesel, 26t, regional delivery"
Compressed Natural Gas-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, compressed gas, 26t, regional delivery"
Compressed Natural Gas-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, compressed gas, 26t, regional delivery"
Diesel-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, diesel, 26t, regional delivery"
Diesel-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, diesel, 26t, regional delivery"
